"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874H,CME ,00,138 ,   13294,    6538,    5294,       0,    6126,    5096,       0,       0,    1747,       0,       0,       0,       0,   12664,   12137,     630,    1157,    1051,     153,     999,       0,    1002,      44,       0,       0,     189,       0,       0,       0,       0,    1155,    1232,    -104,    -181,  100.0,   49.2,   39.8,    0.0,   46.1,   38.3,    0.0,    0.0,   13.1,    0.0,    0.0,    0.0,    0.0,   95.3,   91.3,    4.7,    8.7,     24,      7,      4,      0,.,      6,      0,      0,      4,      0,      0,      0,      0,     10,     14,    72.0,    58.2,    91.2,    76.9,    72.0,    58.2,    91.2,    76.9,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874I,CME ,00,138 ,   14430,    2331,   13013,       0,    9754,       0,      15,     225,     839,       0,       0,       0,       0,   12325,   13867,    2105,     563,    -901,     766,    -754,       0,   -1524,       0,       0,     225,     -38,       0,       0,       0,       0,    -533,    -792,    -368,    -109,  100.0,   16.2,   90.2,    0.0,   67.6,    0.0,    0.1,    1.6,    5.8,    0.0,    0.0,    0.0,    0.0,   85.4,   96.1,   14.6,    3.9,     23,      4,      6,      0,     10,      0,.,.,.,      0,      0,      0,      0,     15,      9,    54.9,    78.4,    72.9,    96.0,    54.9,    78.4,    72.8,    96.0,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","FutOnly"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874I,CME ,00,138 ,   15331,    1565,   13767,       0,   11278,       0,      15,       0,     877,       0,       0,       0,       0,   12858,   14659,    2473,     672,    -708,     -46,    -767,       0,    -623,       0,       0,       0,     -55,       0,       0,       0,       0,    -669,    -822,     -39,     114,  100.0,   10.2,   89.8,    0.0,   73.6,    0.0,    0.1,    0.0,    5.7,    0.0,    0.0,    0.0,    0.0,   83.9,   95.6,   16.1,    4.4,     22,      4,      6,      0,     10,      0,.,      0,.,      0,      0,      0,      0,     14,      9,    60.2,    79.0,    74.4,    95.5,    60.2,    79.0,    74.3,    95.5,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","FutOnly"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874I,CME ,00,138 ,   16039,    1611,   14534,       0,   11901,       0,      15,       0,     932,       0,       0,       0,       0,   13527,   15481,    2512,     558,    -285,     263,     264,       0,    -433,    -474,       0,       0,     -42,       0,       0,       0,       0,    -170,    -252,    -115,     -33,  100.0,   10.0,   90.6,    0.0,   74.2,    0.0,    0.1,    0.0,    5.8,    0.0,    0.0,    0.0,    0.0,   84.3,   96.5,   15.7,    3.5,     22,      4,      7,      0,      9,      0,.,      0,.,      0,      0,      0,      0,     13,     10,    62.9,    77.5,    76.3,    95.1,    62.9,    77.5,    76.2,    95.1,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","FutOnly"
"E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874J,CME ,00,138 ,   16502,    4406,   12446,       0,    6229,    2376,      93,    1229,     729,       0,       0,     218,       0,   11957,   15862,    4545,     640,   -2375,   -2648,     526,       0,    -847,   -2656,       0,     150,    -163,       0,       0,       0,       0,   -3345,   -2293,     970,     -82,  100.0,   26.7,   75.4,    0.0,   37.7,   14.4,    0.6,    7.4,    4.4,    0.0,    0.0,    1.3,    0.0,   72.5,   96.1,   27.5,    3.9,     21,.,      5,      0,      5,.,.,.,.,      0,      0,.,      0,     11,     11,    56.9,    75.1,    68.0,    92.8,    56.4,    75.1,    67.5,    92.8,"($100 x S&P Select Sector Utilities Index price)","13874J","CME ","138 ","F20","FutOnly"
"E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874J,CME ,00,138 ,   18877,    7054,   11920,       0,    7076,    5032,      93,    1079,     892,       0,       0,     218,       0,   15302,   18155,    3575,     722,    -577,      41,    1279,       0,     -29,   -1777,     -58,      40,       0,       0,       0,       0,       0,      -6,    -556,    -571,     -21,  100.0,   37.4,   63.1,    0.0,   37.5,   26.7,    0.5,    5.7,    4.7,    0.0,    0.0,    1.2,    0.0,   81.1,   96.2,   18.9,    3.8,     23,.,      5,      0,      7,.,.,.,.,      0,      0,.,      0,     12,     12,    65.2,    76.0,    75.4,    91.4,    64.7,    76.0,    74.9,    91.4,"($100 x S&P Select Sector Utilities Index price)","13874J","CME ","138 ","F20","FutOnly"
"E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874J,CME ,00,138 ,   19454,    7013,   10641,       0,    7105,    6809,     151,    1039,     892,       0,       0,     218,       0,   15308,   18711,    4146,     743,     -84,    -224,     225,       0,     -83,      55,       0,    -119,       0,       0,       0,       0,       0,    -426,     280,     342,    -364,  100.0,   36.0,   54.7,    0.0,   36.5,   35.0,    0.8,    5.3,    4.6,    0.0,    0.0,    1.1,    0.0,   78.7,   96.2,   21.3,    3.8,     23,.,      5,      0,      7,.,.,.,.,      0,      0,.,      0,     12,     12,    62.6,    74.2,    72.5,    90.2,    61.8,    74.2,    71.7,    90.2,"($100 x S&P Select Sector Utilities Index price)","13874J","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874U,CME ,00,138 ,  121182,    5368,       0,       0,   26210,       0,     481,   18560,   45952,    2109,       0,    1642,       0,   52728,   50184,   68454,   70998,   -8217,   -2178,       0,       0,   -4922,   -1978,    -684,    8239,    1834,     981,   -1786,    1642,       0,    -350,    1795,   -7867,  -10012,  100.0,    4.4,    0.0,    0.0,   21.6,    0.0,    0.4,   15.3,   37.9,    1.7,    0.0,    1.4,    0.0,   43.5,   41.4,   56.5,   58.6,     25,.,      0,      0,      9,      0,.,      9,      5,.,      0,.,      0,     20,     11,    20.0,    38.1,    30.8,    41.2,    20.0,    36.9,    30.3,    39.3,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874U,CME ,00,138 ,  129399,    7546,       0,       0,   31132,    1978,    1165,   10321,   44118,    1128,    1786,       0,       0,   53078,   48389,   76321,   81010,    2958,    1672,       0,       0,     418,   -2963,    -191,   -2108,    8488,    -796,    -177,       0,       0,   -1182,    4538,    4140,   -1580,  100.0,    5.8,    0.0,    0.0,   24.1,    1.5,    0.9,    8.0,   34.1,    0.9,    1.4,    0.0,    0.0,   41.0,   37.4,   59.0,   62.6,     24,.,      0,      0,      8,.,.,      6,      7,      4,.,      0,      0,     19,     12,    23.9,    30.2,    32.3,    37.1,    23.9,    29.6,    32.1,    35.6,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874U,CME ,00,138 ,  126441,    5874,       0,       0,   30714,    4941,    1356,   12429,   35630,    1924,    1963,       0,       0,   54260,   43851,   72181,   82590,   22200,     862,       0,       0,    8777,    2027,     912,    5428,   17342,    1879,     739,       0,       0,   18597,   22160,    3603,      40,  100.0,    4.6,    0.0,    0.0,   24.3,    3.9,    1.1,    9.8,   28.2,    1.5,    1.6,    0.0,    0.0,   42.9,   34.7,   57.1,   65.3,     30,.,      0,      0,      9,.,      6,      6,      9,      5,.,      0,      0,     23,     18,    21.8,    23.5,    29.9,    30.7,    21.3,    22.6,    29.1,    29.0,"($5 X S&P 500 INDEX)","13874U","CME ","138 ","F20","FutOnly"
"ADJUSTED INT RATE S&P 500 TOTL - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874W,CME ,00,138 ,  662828,  207440,  170522,  179792,    1634,   73400,    3865,   86423,   55791,  159362,    8596,       0,   10386,  657498,  653118,    5330,    9710,  -71020,   -6657,    -700,  -38442,       0,    4900,    -250,    8899,   -1388,  -35541,     751,       0,       0,  -71240,  -71421,     220,     401,  100.0,   31.3,   25.7,   27.1,    0.2,   11.1,    0.6,   13.0,    8.4,   24.0,    1.3,    0.0,    1.6,   99.2,   98.5,    0.8,    1.5,     61,     14,     11,     22,.,      5,.,      8,     13,     23,.,      0,.,     52,     57,    46.6,    28.5,    62.7,    50.3,    30.2,    20.6,    38.7,    36.0,"(S&P 500 TOTAL RETURN INDEX x $25)","13874W","CME ","138 ","F20","FutOnly"
"ADJUSTED INT RATE S&P 500 TOTL - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874W,CME ,00,138 ,  733848,  214097,  171222,  218234,    1634,   68500,    4115,   77524,   57179,  194903,    7845,       0,   10386,  728738,  724539,    5110,    9309,   -2598,     669,  -10457,   -9621,       0,    -500,       0,  -11378,    -801,   15986,     450,       0,    2250,   -1644,   -3143,    -954,     545,  100.0,   29.2,   23.3,   29.7,    0.2,    9.3,    0.6,   10.6,    7.8,   26.6,    1.1,    0.0,    1.4,   99.3,   98.7,    0.7,    1.3,     61,     12,     12,     23,.,      5,.,      9,     13,     25,.,      0,.,     55,     58,    44.5,    26.2,    61.1,    46.5,    27.0,    18.1,    33.6,    31.5,"(S&P 500 TOTAL RETURN INDEX x $25)","13874W","CME ","138 ","F20","FutOnly"
"ADJUSTED INT RATE S&P 500 TOTL - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874W,CME ,00,138 ,  736446,  213428,  181679,  227855,    1634,   69000,    4115,   88902,   57980,  178917,    7395,       0,    8136,  730382,  727682,    6064,    8764,    1482,   -2888,  -21429,    6063,       0,   -3750,       0,  -20823,    2693,   16537,     500,       0,       0,    -611,     114,    2093,    1368,  100.0,   29.0,   24.7,   30.9,    0.2,    9.4,    0.6,   12.1,    7.9,   24.3,    1.0,    0.0,    1.1,   99.2,   98.8,    0.8,    1.2,     60,     12,     11,     22,.,      5,.,      9,     13,     25,.,      0,.,     54,     57,    44.1,    24.5,    61.2,    44.2,    27.3,    18.0,    35.1,    31.9,"(S&P 500 TOTAL RETURN INDEX x $25)","13874W","CME ","138 ","F20","FutOnly"
"NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,20974+,CME ,00,209 ,  263439,   33112,   95661,    6430,   97058,   35956,    4252,   37722,   78467,    8953,   28112,    3607,     413,  216052,  233739,   47387,   29701,    1978,    1543,    2193,     282,   -1939,    2434,   -1033,   -5532,   -4258,    2466,    2812,    -254,     201,   -1200,    2032,    3178,     -53,  100.0,   12.6,   36.3,    2.4,   36.8,   13.6,    1.6,   14.3,   29.8,    3.4,   10.7,    1.4,    0.2,   82.0,   88.7,   18.0,   11.3,    266,     25,     25,     13,     70,     21,     24,     36,     52,     28,     17,     18,.,    180,    153,    20.6,    33.4,    32.9,    46.3,    20.6,    32.6,    32.4,    45.5,"(NASDAQ 100 INDEX X $20)","20974+","CME ","209 ","F20","FutOnly"
"NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,20974+,CME ,00,209 ,  261461,   31569,   93468,    6148,   98997,   33522,    5285,   43254,   82724,    6488,   25301,    3861,     212,  217253,  231707,   44209,   29754,   13650,      81,     315,     585,    3214,    2946,     995,    6068,    5258,    2274,     472,     691,     189,   13878,   13252,    -228,     398,  100.0,   12.1,   35.7,    2.4,   37.9,   12.8,    2.0,   16.5,   31.6,    2.5,    9.7,    1.5,    0.1,   83.1,   88.6,   16.9,   11.4,    285,     24,     24,     12,     69,     25,     25,     34,     59,     22,     28,     19,.,    189,    157,    23.6,    34.2,    34.9,    48.7,    23.6,    33.4,    34.7,    47.9,"(NASDAQ 100 INDEX X $20)","20974+","CME ","209 ","F20","FutOnly"
"NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,20974+,CME ,00,209 ,  247811,   31488,   93153,    5562,   95783,   30576,    4290,   37186,   77467,    4214,   24828,    3170,      23,  203374,  218455,   44437,   29356,  -10281,    1535,  -21264,    2049,   -1650,    2010,    -396,   -3524,    4318,    1030,   -7003,    -477,      -9,   -7968,  -12738,   -2313,    2457,  100.0,   12.7,   37.6,    2.2,   38.7,   12.3,    1.7,   15.0,   31.3,    1.7,   10.0,    1.3,    0.0,   82.1,   88.2,   17.9,   11.8,    271,     25,     25,     10,     74,     24,     26,     34,     54,     20,     20,     14,.,    179,    150,    20.9,    36.1,    32.3,    50.1,    20.8,    35.3,    32.0,    49.4,"(NASDAQ 100 INDEX X $20)","20974+","CME ","209 ","F20","FutOnly"
"NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,209742,CME ,00,209 ,  254361,   32931,   96574,    5353,   96783,   35773,    4247,   40151,   80303,    2897,   27973,    3353,     258,  210593,  228758,   43768,   25603,     482,    1521,    2151,     319,   -1971,    2539,   -1033,   -4075,   -1332,   -1171,    2917,    -317,     248,   -3245,    1404,    3727,    -922,  100.0,   12.9,   38.0,    2.1,   38.0,   14.1,    1.7,   15.8,   31.6,    1.1,   11.0,    1.3,    0.1,   82.8,   89.9,   17.2,   10.1,    234,     21,     24,     10,     70,     20,     24,     30,     46,     19,     10,     13,.,    154,    135,    21.3,    34.6,    34.1,    47.9,    21.3,    33.8,    33.6,    47.1,"(NASDAQ 100 STOCK INDEX X $20)","209742","CME ","209 ","F20","FutOnly"
"NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,209742,CME ,00,209 ,  253879,   31410,   94423,    5034,   98754,   33234,    5280,   44226,   81635,    4068,   25056,    3670,      10,  213838,  227354,   40041,   26525,   12714,      46,     423,     484,    3217,    2917,     995,    6897,    5226,    1086,     618,     756,     -13,   13330,   11874,    -616,     840,  100.0,   12.4,   37.2,    2.0,   38.9,   13.1,    2.1,   17.4,   32.2,    1.6,    9.9,    1.4,    0.0,   84.2,   89.6,   15.8,   10.4,    250,     21,     24,      9,     68,     23,     25,     28,     52,     14,     20,     14,.,    160,    139,    24.2,    35.2,    35.9,    50.1,    24.2,    34.5,    35.6,    49.4,"(NASDAQ 100 STOCK INDEX X $20)","209742","CME ","209 ","F20","FutOnly"
"NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,209742,CME ,00,209 ,  241165,   31364,   94000,    4550,   95537,   30317,    4285,   37329,   76409,    2982,   24438,    2914,      23,  200508,  215480,   40657,   25685,  -11306,    1628,  -20262,    1037,   -1654,    1751,    -396,   -3285,    3741,     594,   -7111,    -513,      -9,   -9196,  -14057,   -2110,    2751,  100.0,   13.0,   39.0,    1.9,   39.6,   12.6,    1.8,   15.5,   31.7,    1.2,   10.1,    1.2,    0.0,   83.1,   89.3,   16.9,   10.7,    240,     23,     23,      8,     73,     22,     26,     30,     46,     14,     13,     10,.,    156,    134,    21.4,    37.1,    33.2,    51.5,    21.4,    36.3,    32.9,    50.7,"(NASDAQ 100 STOCK INDEX X $20)","209742","CME ","209 ","F20","FutOnly"
"MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,209747,CME ,00,209 ,   90781,   12582,    1637,       0,    2750,    1828,      51,   29703,   35630,    6571,    2935,    4088,       0,   54592,   49805,   36189,   40976,   14961,    -146,      55,       0,     319,   -1051,       1,   20061,    5371,    1742,   -1530,     157,       0,   20447,    6275,   -5486,    8686,  100.0,   13.9,    1.8,    0.0,    3.0,    2.0,    0.1,   32.7,   39.2,    7.2,    3.2,    4.5,    0.0,   60.1,   54.9,   39.9,   45.1,     52,      6,.,      0,      4,.,.,     12,     13,     11,      8,      6,      0,     37,     27,    41.6,    37.7,    47.4,    45.1,    38.2,    35.2,    42.5,    41.3,"(NASDAQ 100 STOCK INDEX x $2)","209747","CME ","209 ","F20","FutOnly"
"MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,209747,CME ,00,209 ,   75820,   12728,    1582,       0,    2431,    2879,      50,    9642,   30259,    4829,    4465,    3931,       0,   34145,   43530,   41675,   32290,    9360,    1363,     -69,       0,     -28,     287,      -2,    1111,    9719,    2475,     564,    1368,       0,    5483,   13778,    3877,   -4418,  100.0,   16.8,    2.1,    0.0,    3.2,    3.8,    0.1,   12.7,   39.9,    6.4,    5.9,    5.2,    0.0,   45.0,   57.4,   55.0,   42.6,     56,      4,.,      0,      4,.,.,     12,     16,      8,     10,      6,      0,     36,     29,    25.5,    34.6,    33.1,    44.0,    22.6,    33.8,    28.4,    40.8,"(NASDAQ 100 STOCK INDEX x $2)","209747","CME ","209 ","F20","FutOnly"
"MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,209747,CME ,00,209 ,   66460,   11365,    1651,       0,    2459,    2592,      52,    8531,   20540,    2354,    3901,    2563,       0,   28662,   29752,   37798,   36708,   10251,    9190,      98,       0,      36,    2592,       0,    1442,    9605,     527,    1082,     365,       0,   12277,   13187,   -2026,   -2936,  100.0,   17.1,    2.5,    0.0,    3.7,    3.9,    0.1,   12.8,   30.9,    3.5,    5.9,    3.9,    0.0,   43.1,   44.8,   56.9,   55.2,     48,      5,.,      0,      4,.,.,      7,     16,      7,      8,      4,      0,     31,     25,    27.3,    21.7,    34.1,    30.1,    27.3,    20.3,    32.4,    28.2,"(NASDAQ 100 STOCK INDEX x $2)","209747","CME ","209 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,239742,CME ,00,239 ,  436046,   79161,  163659,    2886,  211548,   88229,   29046,   45417,   99861,   14805,   15564,   18421,     356,  398783,  417263,   37263,   18783,  -17862,    -521,   -8963,    -656,    3471,    2644,    -278,  -13706,   -5518,   -4204,   -4281,   -1272,     216,  -19959,  -18031,    2097,     169,  100.0,   18.2,   37.5,    0.7,   48.5,   20.2,    6.7,   10.4,   22.9,    3.4,    3.6,    4.2,    0.1,   91.5,   95.7,    8.5,    4.3,    335,     30,     20,      7,    106,     40,     37,     52,     62,     22,     12,     13,      4,    233,    172,    12.9,    32.8,    21.8,    41.2,    12.7,    31.8,    21.5,    39.7,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,239742,CME ,00,239 ,  453908,   79682,  172622,    3542,  208077,   85585,   29324,   59123,  105379,   19009,   19845,   19693,     140,  418742,  435294,   35166,   18614,   -8307,    7283,  -17353,     152,  -16513,   -1558,    1589,    -326,    6626,     712,    -381,    -564,      25,   -7459,  -10371,    -848,    2064,  100.0,   17.6,   38.0,    0.8,   45.8,   18.9,    6.5,   13.0,   23.2,    4.2,    4.4,    4.3,    0.0,   92.3,   95.9,    7.7,    4.1,    333,     32,     20,      7,    103,     42,     38,     46,     67,     24,     11,     12,      5,    226,    181,    13.7,    32.0,    23.1,    40.8,    13.3,    31.9,    21.9,    39.7,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,239742,CME ,00,239 ,  462215,   72399,  189975,    3390,  224590,   87143,   27735,   59449,   98753,   18297,   20226,   20257,     115,  426201,  445665,   36014,   16550,   -8162,    4905,  -20655,    -399,  -20303,   -2509,    3545,   12489,   11304,    -924,   -5751,    1571,      54,   -6384,   -8013,   -1778,    -149,  100.0,   15.7,   41.1,    0.7,   48.6,   18.9,    6.0,   12.9,   21.4,    4.0,    4.4,    4.4,    0.0,   92.2,   96.4,    7.8,    3.6,    337,     33,     19,      6,    107,     40,     37,     49,     67,     24,      9,     13,      4,    234,    174,    13.2,    34.4,    22.8,    43.3,    13.1,    34.1,    22.0,    42.3,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,239744,CME ,00,239 ,   29407,   18192,   10888,       0,    8980,   17800,     296,     366,       0,      21,       0,       0,       0,   27855,   29005,    1552,     402,     485,    1544,     581,       0,   -1044,     -11,       0,       0,       0,       0,       0,       0,       0,     500,     570,     -15,     -85,  100.0,   61.9,   37.0,    0.0,   30.5,   60.5,    1.0,    1.2,    0.0,    0.1,    0.0,    0.0,    0.0,   94.7,   98.6,    5.3,    1.4,     27,      5,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     18,     12,    68.7,    83.7,    82.3,    95.9,    68.7,    83.7,    82.3,    95.9,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,239744,CME ,00,239 ,   28922,   16648,   10307,       0,   10024,   17811,     296,     366,       0,      21,       0,       0,       0,   27355,   28435,    1567,     487,    -127,    -156,     -71,       0,     -60,       5,       0,     -47,       0,      14,       0,       0,       0,    -249,     -52,     122,     -75,  100.0,   57.6,   35.6,    0.0,   34.7,   61.6,    1.0,    1.3,    0.0,    0.1,    0.0,    0.0,    0.0,   94.6,   98.3,    5.4,    1.7,     26,      4,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     17,     12,    70.5,    84.8,    83.3,    95.6,    70.5,    84.8,    83.3,    95.6,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,239744,CME ,00,239 ,   29049,   16804,   10378,       0,   10084,   17806,     296,     413,       0,       7,       0,       0,       0,   27604,   28487,    1445,     562,     173,    -306,     436,       0,     439,      12,       0,       0,       0,       0,       0,       0,       0,     133,     448,      40,    -275,  100.0,   57.8,   35.7,    0.0,   34.7,   61.3,    1.0,    1.4,    0.0,    0.0,    0.0,    0.0,    0.0,   95.0,   98.1,    5.0,    1.9,     26,      4,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     17,     12,    68.0,    84.4,    81.2,    95.3,    68.0,    84.4,    81.2,    95.3,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,239747,CME ,00,239 ,   28276,    3889,       0,       0,    1349,     239,      24,    4341,   20214,     317,    1312,    2052,       0,   11232,   22846,   17044,    5430,    4184,     456,       0,       0,    -179,      12,     -46,    3073,    3557,      49,     -36,    -430,       0,    3317,    3142,     867,    1042,  100.0,   13.8,    0.0,    0.0,    4.8,    0.8,    0.1,   15.4,   71.5,    1.1,    4.6,    7.3,    0.0,   39.7,   80.8,   60.3,   19.2,     28,.,      0,      0,      5,.,.,.,      8,.,      4,      4,      0,     19,     13,    26.1,    54.8,    32.6,    75.6,    26.1,    54.3,    32.6,    74.5,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,239747,CME ,00,239 ,   24092,    3433,       0,       0,    1528,     227,      70,    1268,   16657,     268,    1348,    2482,       0,    7915,   19704,   16177,    4388,    1303,     620,       0,       0,      63,     227,      70,   -3855,    4653,     -25,     288,    2030,       0,   -2839,    6955,    4142,   -5652,  100.0,   14.2,    0.0,    0.0,    6.3,    0.9,    0.3,    5.3,   69.1,    1.1,    5.6,   10.3,    0.0,   32.9,   81.8,   67.1,   18.2,     26,.,      0,      0,      5,.,.,.,      9,      4,      4,.,      0,     19,     12,    18.3,    48.6,    25.0,    76.3,    18.3,    47.9,    25.0,    75.2,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
